Banka,Kart Adı,Kart Türü,Müşteri Segmenti,Ödeme Ağı,Kart Programı / Ödül,Yıllık Kart Ücreti,Taksit / Vade Farksız,Puan / Nakit İade / Mil,Temassız,QR / NFC,Sanal Kart,Ek Kart,İnternet Alışverişi,Yurt Dışı Kullanım,Nakit Avans,Öne Çıkan Avantaj,Başvuru Kanalı,Resmî Kaynak,Kontrol Tarihi,Veri Notu
Adil Katılım,Kamuya açık doğrulanmış kart ürünü bulunamadı,Ürün yayımlanmamış,Bireysel / Ticari,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Kart ürünü kamuya açık olarak yayımlanmadığı için kart özelliği üretilmedi.,Mobil uygulama 'çok yakında' olarak duyuruluyor,https://www.adilkatilim.com.tr/,2026-08-27,27.08.2026 kontrolünde resmî sitede kamuya açık doğrulanmış kart ürünü bulunamadı; özellikler tahmin edilmedi.
Albaraka Türk,World Platinum Kart,Kredi Kartı,Bireysel / Premium,Bilgi yok – resmî kaynakta yayımlanmamış,World / Worldpuan,0 TL – Albaraka kredi kartlarında kart ücreti yok,World üye işyerlerinde taksit,Worldpuan,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,"Asistans hizmetleri, Worldpuan ve World üye işyerlerinde taksit",Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/kredi-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Albaraka Türk,World Gold Kart,Kredi Kartı,Bireysel,Bilgi yok – resmî kaynakta yayımlanmamış,World / Worldpuan,0 TL – Albaraka kredi kartlarında kart ücreti yok,World üye işyerlerinde taksit,Worldpuan,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,World üye işyerlerinde taksit ve Worldpuan,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/kredi-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Albaraka Türk,World Klasik Kart,Kredi Kartı,Bireysel,Bilgi yok – resmî kaynakta yayımlanmamış,World / Worldpuan,0 TL – Albaraka kredi kartlarında kart ücreti yok,World üye işyerlerinde taksit,Worldpuan,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,World üye işyerlerinde taksit ve Worldpuan,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/kredi-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Albaraka Türk,TROY Kredi Kartı,Kredi Kartı,Bireysel,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,0 TL – Albaraka kredi kartlarında kart ücreti yok,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,TROY altyapılı kredi kartı,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/kredi-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Albaraka Türk,Trend Kredi Kartı,Kredi Kartı,Trend segmenti,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,0 TL – Albaraka kredi kartlarında kart ücreti yok,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Trend segmentine özel kampanya ve ayrıcalıklar,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/kredi-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Albaraka Türk,Eflatun Kredi Kartı,Kredi Kartı,Eflatun segmenti,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,0 TL – Albaraka kredi kartlarında kart ücreti yok,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Eflatun segmentine özel kart ayrıcalıkları,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/kredi-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Albaraka Türk,Özel Kredi Kartı,Kredi Kartı,Özel Bankacılık,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,0 TL – Albaraka kredi kartlarında kart ücreti yok,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Var,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Özel Bankacılık müşterilerine yönelik kart,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/kredi-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Albaraka Türk,Albaraka World Sanal Kart,Sanal Kredi Kartı,Bireysel,Bilgi yok – resmî kaynakta yayımlanmamış,World,0 TL – Albaraka kredi kartlarında kart ücreti yok,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Kartın kendisi sanal,Bilgi yok – resmî kaynakta yayımlanmamış,Var,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,World kredi kartına bağlı internet alışverişi için sanal kart,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/kredi-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
Albaraka Türk,7/24 Albaraka Banka Kartı,Banka Kartı,Bireysel,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Bilgi yok – resmî kaynakta yayımlanmamış,Cari hesaptan alışveriş ve bankacılık işlemleri,Bilgi yok – resmî kaynakta yayımlanmamış,https://www.albaraka.com.tr/tr/bireysel/kartlar/banka-kartlari,2026-08-27,Yalnız kamuya açık resmî ürün bilgisinden derlendi.
