Finansman Türü,Senaryo,Banka,Ürün,Varyant,Kâr Payı,Aylık Taksit,Toplam Geri Ödeme,Tahsis,Ekspertiz,İpotek / Rehin,Doğrulama Yöntemi,Resmî Kaynak,Kontrol Tarihi
Konut Finansmanı,100.000 TL / 36 Ay,Adil Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://www.adilkatilim.com.tr/katilim-bankaciligi/urun-ve-hizmetler,2026-08-27
Konut Finansmanı,100.000 TL / 36 Ay,Albaraka Türk,Konut Finansmanı,ilk_ev,"%3,04","4.616,82 TL","166.205,69 TL","500,00 TL","23.642,27 TL","3.684,00 TL",official_live_calculator_endpoint,https://www.albaraka.com.tr/tr/hesaplama-araclari/finansman-hesaplama/ihtiyac-finansmani-hesaplama,2026-08-20
Konut Finansmanı,100.000 TL / 36 Ay,Albaraka Türk,Konut Finansmanı,mevcut_konut,"%3,04","4.616,82 TL","166.205,69 TL","500,00 TL","23.642,27 TL","3.684,00 TL",official_live_calculator_endpoint,https://www.albaraka.com.tr/tr/hesaplama-araclari/finansman-hesaplama/ihtiyac-finansmani-hesaplama,2026-08-20
Konut Finansmanı,100.000 TL / 36 Ay,Dünya Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://dunyakatilim.com.tr/kendim-icin/finansmanlar,2026-08-27
Konut Finansmanı,100.000 TL / 36 Ay,Hayat Finans,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://hayatfinans.com.tr/krediler,2026-08-27
Konut Finansmanı,100.000 TL / 36 Ay,Kuveyt Türk,Konut Finansmanı,standard,"%3,56","4.971,02 TL","178.956,33 TL","575,00 TL","23.645,00 TL","4.500,00 TL",official_live_calculator_endpoint,https://www.kuveytturk.com.tr/hesaplama-araclari/finansman-hesaplama,2026-08-20
Konut Finansmanı,100.000 TL / 36 Ay,T.O.M. Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Birebir resmî senaryo bulunamadı,https://tombank.com.tr/magazadan-alisveris-kredisi.html,2026-08-27
Konut Finansmanı,100.000 TL / 36 Ay,Türkiye Emlak Katılım,Kamuya açık doğrulanmış ürün bulunamadı,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,Kişiye özel teklif — banka ile görüşün,"Birebir resmî senaryo bulunamadı · En yakın doğrulanmış örnek: 100.000,00 TL / 24 ay",https://www.emlakkatilim.com.tr/tr,2026-08-27
Konut Finansmanı,100.000 TL / 36 Ay,Türkiye Finans,Konut Finansmanı (Konut Kredisi)*,ilk_konut_sigortali,"%3,35",Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,"500,00 TL (100.000 TL resmî örnek tablo)","16.500,00 TL asgari örnek; gerçek maliyete göre değişebilir","3.000,00 TL (100.000 TL resmî örnek tablo)",Güncel resmî fiyat tablosu; 20.08.2026 hesaplayıcı taksit snapshotı oran değiştiği için kullanılmadı,https://www.turkiyefinans.com.tr/tr-tr/bireysel/konut-finansmani/sayfalar/konut-finansmani.aspx,2026-08-27
Konut Finansmanı,100.000 TL / 36 Ay,Türkiye Finans,Konut Finansmanı (Konut Kredisi)*,ilk_konut_sigortasiz,"%3,81",Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,"500,00 TL (100.000 TL resmî örnek tablo)","16.500,00 TL asgari örnek; gerçek maliyete göre değişebilir","3.000,00 TL (100.000 TL resmî örnek tablo)",Güncel resmî fiyat tablosu; 20.08.2026 hesaplayıcı taksit snapshotı oran değiştiği için kullanılmadı,https://www.turkiyefinans.com.tr/tr-tr/bireysel/konut-finansmani/sayfalar/konut-finansmani.aspx,2026-08-27
Konut Finansmanı,100.000 TL / 36 Ay,Türkiye Finans,Konut Finansmanı (Konut Kredisi)*,mevcut_konut_sigortali,"%3,35",Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,"500,00 TL (100.000 TL resmî örnek tablo)","16.500,00 TL asgari örnek; gerçek maliyete göre değişebilir","3.000,00 TL (100.000 TL resmî örnek tablo)",Güncel resmî fiyat tablosu; 20.08.2026 hesaplayıcı taksit snapshotı oran değiştiği için kullanılmadı,https://www.turkiyefinans.com.tr/tr-tr/bireysel/konut-finansmani/sayfalar/konut-finansmani.aspx,2026-08-27
Konut Finansmanı,100.000 TL / 36 Ay,Türkiye Finans,Konut Finansmanı (Konut Kredisi)*,mevcut_konut_sigortasiz,"%3,81",Bu tutar/vade için doğrulanmış sayısal sonuç yok,Bu tutar/vade için doğrulanmış sayısal sonuç yok,"500,00 TL (100.000 TL resmî örnek tablo)","16.500,00 TL asgari örnek; gerçek maliyete göre değişebilir","3.000,00 TL (100.000 TL resmî örnek tablo)",Güncel resmî fiyat tablosu; 20.08.2026 hesaplayıcı taksit snapshotı oran değiştiği için kullanılmadı,https://www.turkiyefinans.com.tr/tr-tr/bireysel/konut-finansmani/sayfalar/konut-finansmani.aspx,2026-08-27
Konut Finansmanı,100.000 TL / 36 Ay,Vakıf Katılım,Konut Finansmanı,2el_konut,"%3,16","4.690,38 TL","168.853,82 TL",Kişiye özel teklif — banka ile görüşün,"25.000,00 TL","1.000,00 TL",official_live_calculator_endpoint,https://www.vakifkatilim.com.tr/tr/yardimci-sayfalar/hesaplama-araclari/finansman-hesaplama,2026-08-20
