category,campaigns,banks,main_benefit_fill_pct,target_audience_fill_pct,installment_fill_pct,maturity_fill_pct,pricing_fill_pct,discount_cashback_fill_pct,reward_fill_pct,points_fill_pct,min_spend_fill_pct,max_benefit_fill_pct,conditions_summary_fill_pct,source_url_fill_pct
Alışveriş Finansmanı,20,3,100.0,10.0,60.0,85.0,30.0,0.0,5.0,0.0,0.0,5.0,100.0,100.0
Diğer Finansman,3,2,100.0,0.0,66.7,100.0,33.3,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Diğer Kampanya,24,5,100.0,83.3,0.0,0.0,0.0,8.3,20.8,8.3,33.3,25.0,100.0,100.0
Esnek Ödeme Finansmanı,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Kart / Taksit Kampanyası,222,7,100.0,75.7,89.6,0.0,33.8,0.5,2.7,8.6,17.6,4.1,100.0,100.0
Konut ve Taşıt Finansmanı,1,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Puan Kampanyası,34,5,100.0,52.9,11.8,0.0,0.0,5.9,41.2,94.1,64.7,85.3,100.0,100.0
Sağlık Finansmanı,1,1,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Sigorta Kampanyası,2,1,100.0,100.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,50.0,100.0,100.0
Tarım Leasing Finansmanı,1,1,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Ticari Kart Taksitlendirme,1,1,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Togg Taşıt Finansmanı,1,1,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Umre Finansmanı,2,2,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Veresiye Finansmanı,1,1,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0
Yatırım Finansmanı,1,1,100.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0
Yeni Müşteri Kampanyası,15,6,100.0,100.0,6.7,0.0,0.0,20.0,46.7,20.0,6.7,53.3,100.0,100.0
İhtiyaç Finansmanı,6,3,100.0,100.0,50.0,100.0,100.0,0.0,0.0,0.0,16.7,33.3,100.0,100.0
İndirim Kampanyası,97,8,100.0,86.6,15.5,0.0,6.2,64.9,25.8,8.2,28.9,50.5,100.0,100.0
