campaign_id,bank_name,campaign_name,category,campaign_type,linked_product_type,main_benefit,target_audience,installment,maturity,pricing,financing_amount,discount_cashback,reward,points,min_spend,max_benefit,min_transaction,max_transaction,start_date,end_date,expense_status,conditions_summary,source_url,source_checked_at,verification_status
42,Albaraka Türk,Taksitlio.com Alışveriş Finansmanı,Alışveriş Finansmanı,finance_campaign,Alışveriş Finansmanı,6 ay vade,,,6 ay,"%2,99",,,,,,,,,2026-01-01,2026-12-31,Masraf bilgisi mevcut,"Albaraka Mobil Mobil Bankacılık Aç Taksitlio.com Alışveriş Finansmanı Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Albaraka Türk ve Taksitlio.com İş Birliği ile İhtiyaçlarınızı Ertelemeden Avantajlı Alışveriş Finansmanı Fırsatı! Türkiye’de katılım bankacılığının öncüsü Albaraka Türk olarak, finansal çözümlerimizi hayatınızın her alanına ulaştırma misyonumuz çerçevesinde çalışmalarımızı sürdürüyoruz. Bu kapsamda, Türkiye'nin önde gelen fiziksel perakende noktalarını bir araya getiren Taksitlio.com ile gerçekleştirdiğimiz güçlü iş birliği sayesinde, alışverişlerinizi kolaylıkla finanse etme imkânı sunuyoruz. Kredi kartı limitlerine takılma endişesi yaşamadan, nakit paranızı kullanma z",https://albaraka.com.tr/tr/kampanyalar/detay/taksitliocom-alisveris-finansmani,2026-08-10T11:17:32+00:00,official_source_date_gated
7,Albaraka Türk,Albaraka\u0027da Masraflara Son!,Diğer Kampanya,other_campaign,,Albaraka Mobil Mobil Bankacılık Aç Albaraka'da Masraflara Son! Kampanya Başlangıç ve Bitiş 01.01.2020 - 31.12.2026 Albaraka Türk olarak dijitalleşen dünyada müşterilerimizin finans,,,,,,,,,,,,,2020-01-01,2026-12-31,,"Albaraka Mobil Mobil Bankacılık Aç Albaraka'da Masraflara Son! Kampanya Başlangıç ve Bitiş 01.01.2020 - 31.12.2026 Albaraka Türk olarak dijitalleşen dünyada müşterilerimizin finansal ihtiyaçlarına çözüm üretmenin tutkusuyla masrafsız bir bankacılık sunuyoruz. Siz de görüntülü görüşme ile hemen Albarakalı olabilir, mobil şube ve internet şube üzerinden işlemlerinizi gerçekleştirebilir, masrafsız bankacılığın keyfini çıkarabilirsiniz. Müşteri Ol Masrafsız Hesap Albaraka Türk’te açılacak TL, Döviz veya Altın tüm cari ve katılma hesaplarından hiçbir koşul gerektirmeksizin hesap işletim ücreti tahsil edilmeyecektir. Masrafsız Para Transferi Albaraka Mobil, İnternet Şube ve Albaraka ATM’lerinde yurt içi bankalar aras",https://albaraka.com.tr/tr/kampanyalar/detay/albarakada-masraflara-son,2026-08-10T11:17:32+00:00,official_source_date_gated
19,Albaraka Türk,Emekli Promosyon 2026,Diğer Kampanya,other_campaign,,30.000 TL ödül,Maaş Müşterileri,,,,,,30.000 TL ödül,,,8.600 TL,10.000 TL,14.999 TL,2026-08-01,2026-08-31,,"Albaraka Mobil Mobil Bankacılık Aç Emekli Promosyon 2026 | 30.000 TL'ye Varan Ödül! Kampanya Başlangıç ve Bitiş 01.08.2026 - 31.08.2026 Müşteri Ol Müşteri Ol 01 Temmuz - 31 Temmuz 2026 tarihleri arasında emekli maaşını Albaraka’ya taşıyan müşterilerimize 20.000 TL 'ye varan promosyon ve 10.000 TL ’ ye varan ödül kazanma fırsatı! Emekli maaşını bankamızdan alan müşterilerimiz, 2 otomatik fatura ödeme talimatı vermesi durumunda promosyona ek 1.400 TL ödül kazanacaktır. Müşterilerimizin bankamıza referans olarak yönlendirdikleri her bir yeni emekli maaş müşterisi için 1.075 TL , toplamda 8.600 TL ödül verilecektir. Emekliye Promosyon Kampanyasına Özel Diğer Avantajlar Emekli müşterilerimiz Yapı Kredi ATM’lerinden",https://albaraka.com.tr/tr/kampanyalar/detay/emekli-promosyon-kampanyasi,2026-08-10T11:17:32+00:00,official_source_date_gated
24,Albaraka Türk,Hızlı Döviz İşlemleri Yanınızda!,Diğer Kampanya,other_campaign,,Albaraka Mobil Mobil Bankacılık Aç Hızlı Döviz İşlemleri Yanınızda!,,,,,,,,,,,,,2026-07-01,2026-12-31,,"Albaraka Mobil Mobil Bankacılık Aç Hızlı Döviz İşlemleri Yanınızda! Kampanya Başlangıç ve Bitiş 01.07.2026 - 31.12.2026 Albaraka Mobil Albaraka Mobil Piyasa hareketliliğini anlık takip edin, döviz işlemlerinizi saniyeler içinde, şubeye gitmenize gerek kalmadan güvenle gerçekleştirin. Albaraka Mobil ile döviz dünyası artık parmaklarınızın ucunda! Detaylar Anlık Döviz Kurları: Güncel döviz kurlarını anlık olarak takip edin. Avantajlı Kurlar: Altın, gümüş ve döviz işlemlerinde dar makas avantajı hafta içi 24 saat Albaraka Mobil Hızlı Döviz İşlemleri'nde! Hemen avantajlı kurlarla hızlı ve kolay işlem yapın. Hızlı Alım-Satım: Döviz alış ve satış işlemlerinizi tek tıkla, hızlıca tamamlayın. 5/24 Erişim: Döviz işlemle",https://albaraka.com.tr/tr/kampanyalar/detay/hizli-doviz-islemleri-yaninizda,2026-08-10T11:17:32+00:00,official_source_date_gated
399,Albaraka Türk,Kahve Keyfiniz Albaraka’dan!,Diğer Kampanya,other_campaign,,Albaraka Mobil Mobil Bankacılık Aç Kahve Keyfiniz Albaraka’dan! Kampanya Başlangıç ve Bitiş 01.08.2026 - 31.08.2026 Müşteri Ol Müşteri Ol Espressolab’de Elmas ve Platin müşterileri,,,,,,,,,,,,,2026-08-01,2026-08-31,,"Albaraka Mobil Mobil Bankacılık Aç Kahve Keyfiniz Albaraka’dan! Kampanya Başlangıç ve Bitiş 01.08.2026 - 31.08.2026 Müşteri Ol Müşteri Ol Espressolab’de Elmas ve Platin müşterilerimize özel haftada 1 kahve hediyesi! Kampanyaya Katılım Adımları: Albaraka Mobil’e giriş yapın, Kampanyalar> ”Kahve Keyfiniz Albaraka’dan!” kampanyası ‘Kod Al’ butonuna tıklayın, Espressolab mobil uygulaması indirin, ana sayfada yer alan ""QR Okut"" butonuna tıklayın, “Promosyon Kodu” alanına Albaraka Mobil’den aldığınız kodu girin, “Tebrikler” notu ile birlikte oluşturduğunuz QR kodu kasadaki görevliye göstererek hediye kahvenizi alın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1-31 Ağustos 2026 tarihlerinde geçerlidir. Kampanya Detay",https://albaraka.com.tr/tr/kampanyalar/detay/kahve-keyfiniz-albarakadan-1,2026-08-10T11:17:32+00:00,official_source_date_gated
45,Albaraka Türk,Trend 4 GB İnternet Kampanyası,Diğer Kampanya,other_campaign,,Albaraka Mobil Mobil Bankacılık Aç Trend 4 GB İnternet Kampanyası Kampanya Başlangıç ve Bitiş 01.11.2025 - 31.10.2026 Neye ihtiyacın olduğunu en iyi Albaraka Türk bilir!,Kart Sahipleri,,,,,,,,750 TL,750 TL,,,2025-11-01,2026-10-31,,"Albaraka Mobil Mobil Bankacılık Aç Trend 4 GB İnternet Kampanyası Kampanya Başlangıç ve Bitiş 01.11.2025 - 31.10.2026 Neye ihtiyacın olduğunu en iyi Albaraka Türk bilir! Alışverişlerinde Trend Kredi Kartı’nı kullan, internet paketi hediyeni kap! Hem de bir kere değil, her ay kazanabilirsin! Trend Kredi Kartın ile ayda 750 TL ve üzeri harcama yap, bir hafta geçerli 4 GB internet senin olsun. Fırsattan yararlanmak için aşağıdaki adımları izlemen yeterli: Aylık dönem içerisinde, toplamda 750 TL ve üzerinde harcama yap. Bir sonraki ay, ayın 5’inden sonra Albaraka Mobil > Kampanyalar kısmından 4 GB internet kodunu oluştur. Oluşturduğun kodu 6610’a gönder, 1 hafta geçerli 4 GB internet hattına tanımlansın. Bu adımlar",https://albaraka.com.tr/tr/kampanyalar/detay/trend-4-gb-internet-kampanyasi,2026-08-10T11:17:32+00:00,official_source_date_gated
3,Albaraka Türk,albaFX’te Karma Düzey 1 Ücretsiz!,Diğer Kampanya,other_campaign,,Albaraka Mobil Mobil Bankacılık Aç albaFX’te Karma Düzey 1 Ücretsiz!,,,,,,,,,,,,,2026-02-18,2026-12-31,,"Albaraka Mobil Mobil Bankacılık Aç albaFX’te Karma Düzey 1 Ücretsiz! Kampanya Başlangıç ve Bitiş 18.02.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Piyasa hareketli ise, siz bir adım önde olun! Profesyonel yatırım araçları artık cebinizde. Detaylar Siz de hemen albaFX indirin, Canlı fiyat izleme, Teknik analiz araçları, Ekonomik takvim, Yapay zekâ destekli araştırma raporlarına hiçbir ücret ödemeden erişin! Masraf ve Ücretler Hakkında Hatırlatma Sermaye Piyasası Kanunu gereği, sermaye piyasası araçlarının fiziken ihraç ve saklamasının yapıldığı ve bunlara ilişkin hakların senede bağlı olduğu sistem terk edilerek kaydi saklama sistemine geçilmiştir. Bu çerçevede, Sermaye Piyasası Kurulu (SPK) kararı gereği kaydileşme",https://albaraka.com.tr/tr/kampanyalar/detay/albafx-karma-duzey-1,2026-08-10T11:17:32+00:00,official_source_date_gated
8,Albaraka Türk,Ücretsiz İSPARK Otopark Kampanyası,Diğer Kampanya,other_campaign,,Albaraka Mobil Mobil Bankacılık Aç Ücretsiz İSPARK Otopark Kampanyası | Albarakalılara Özel Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Albaraka Mobil Albaraka Mobil Ücrets,Bireysel Müşteriler,,,,,,,,,,,,2026-01-01,2026-12-31,,"Albaraka Mobil Mobil Bankacılık Aç Ücretsiz İSPARK Otopark Kampanyası | Albarakalılara Özel Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Albaraka Mobil Albaraka Mobil Ücretsiz İSPARK Otopark kampanyası ile Albaraka Türk, hayatınızı kolaylaştırmaya devam ediyor. Albaraka Türk müşterisi olup, kampanya şartlarını sağlayan müşterilerimize İSPARK’ta aylık 2 defa ücretsiz park kullanım fırsatı sunuyoruz! Albaraka müşterisi değilseniz, siz de Albaraka Mobil’de yer alan “Müşteri Olmak İstiyorum” butonuna tıklayarak görüntülü görüşme ile hemen müşterimiz olun, kampanyalarımızdan ve daha birçok ayrıcalıktan yararlanın. İSPARK Kampanyasına Katılım Adımları Kampanya şartlarını sağlayan Müşterilerimiz, Albaraka Mobil",https://albaraka.com.tr/tr/kampanyalar/detay/albarakalilara-ozel-ucretsiz-ispark-kampanyasi-1,2026-08-10T11:17:32+00:00,official_source_date_gated
36,Albaraka Türk,Payını Sen Seç Finansmanı,Esnek Ödeme Finansmanı,finance_campaign,Esnek Ödeme Finansmanı,Albaraka Mobil Mobil Bankacılık Aç Payını Sen Seç Finansmanı Kampanya Başlangıç ve Bitiş 31.07.2026 - 31.12.2026 “Payını Sen Seç” Finansman Modeli ile Ödemelerini Kendi İsteğine Gö,,,,,,,,,,,,,2026-07-31,2026-12-31,,"Albaraka Mobil Mobil Bankacılık Aç Payını Sen Seç Finansmanı Kampanya Başlangıç ve Bitiş 31.07.2026 - 31.12.2026 “Payını Sen Seç” Finansman Modeli ile Ödemelerini Kendi İsteğine Göre Şekillendir! Size En Yakın Şube Yeni “Payını Sen Seç” finansman modeliyle, konut, taşıt ve bireysel ihtiyaçlarınız için kullanacağınız finansmanda size en uygun ödeme planını kendiniz belirleyebilirsiniz. Bu modelde; taksit tutarınıza ek olarak seçeceğiniz peşinat sayesinde, • Daha düşük kâr oranı , • Daha avantajlı toplam geri ödeme , • Daha esnek bir finansman süreci elde edersiniz. Kısacası; ne kadar peşinat ödemek isterseniz, kâr oranınız o kadar düşer ve finansman süreciniz daha avantajlı hale gelir. Konut ve taşıt finansmanla",https://albaraka.com.tr/tr/kampanyalar/detay/payini-sen-sec-finansmani,2026-08-10T11:17:32+00:00,official_source_date_gated
1,Albaraka Türk,8 Taksit Fırsatıyla KASKO Zamanı!,Kart / Taksit Kampanyası,card_campaign,,8 taksit,Bireysel Müşteriler,8 taksit,,,,,,,,,,,2026-03-01,2026-12-31,,"Albaraka Mobil Mobil Bankacılık Aç 8 Taksit Fırsatıyla KASKO Zamanı! Kampanya Başlangıç ve Bitiş 01.03.2026 - 31.12.2026 Albaraka Mobil Albaraka Mobil Albaraka Mobil üzerinden gerçekleştireceğiniz Kasko sigortası işlemlerinize özel 8 taksit fırsatı! Kampanyaya Katılmak İçin: Albaraka Mobil’e giriş yapın, İşlem > Sigorta İşlemleri alanından Kasko için başvuru yapın, 8 Taksite varan fırsatla Kasko'nuzu yaptırın. Kampanya Başlangıç ve Bitiş Tarihi: Kampanya 1 Mart 2026 – 31 Aralık 2026 tarihlerinde geçerlidir. Kampanyadan Kimler Faydalanabilir? Kampanyadan 1 Mart 2026 – 31 Aralık 2026 tarihleri arasında Albaraka Mobil’den “Sigorta İşlemleri” alanından Kasko sigorta alımı gerçekleştiren müşteriler faydalanabilir. K",https://albaraka.com.tr/tr/kampanyalar/detay/8-taksit-firsatiyla-kasko-zamani-3,2026-08-10T11:17:32+00:00,official_source_date_gated
