product_id,bank_name,family_key,family_label,product_name,scope,pricing,amount_limit,maturity,ratio_rule,main_terms,fees,purpose,structure,repayment,collateral,target_segment,channel,usage_access,currency,foreign_trade,special_conditions,product_summary,source_url,source_checked_at,source_text_available,curation_status
84,Albaraka Türk,alisveris_finansmani,Alışveriş Finansmanı,Bayide Finansman,bireysel,,,36 aya kadar,Bilgisayar: 36 ay,36 aya kadar · Bilgisayar: 36 ay,,Mal / hizmet alımı,,Taksitli ödeme,,KOBİ · Kurumsal · Bireysel,Mobil · Şube · Bayi / Mağaza,Mobil · Şube · Bayi / Mağaza,TL,,Genel azami vade: 36 ay,Firmanızın ürün/hizmetlerini satın almak isteyen bireysel müşterilerin finansman kullanarak ücret bedelinin anında hesabınıza geçeceği alternatif online bir satış kanalıdır. Firmanız tarafından yetki verilecek personelleriniz kullanıcı adı ve şifresiyle Bayide Finansman platformunu kullanabilecek ve müşterilerinizin işlemlerini gerçekleştirecektir.,https://www.albaraka.com.tr/tr/kobi/finansmanlar/bayide-finansman,2026-08-13T14:48:06+03:00,True,official_source_verified
54,Hayat Finans,alisveris_finansmani,Alışveriş Finansmanı,Bana Bunu Al,bireysel,Vade / koşula göre resmî fiyatlama tablosu,Asgari 500 TL · Azami 50.000 TL,Ürün azami vadesi 18 ay,Bilgisayar: 12 ay · Tablet: 6 ay · Mobilya/Beyaz Eşya/Elektronik: 18 ay · Cep telefonu: tutara göre 12/3 ay,Asgari 500 TL · Azami 50.000 TL · Ürün azami vadesi 18 ay · Bilgisayar: 12 ay · Tablet: 6 ay,Tahsis Ücreti: %0,Mal / hizmet alımı,,Taksitli ödeme,,Bireysel,Mobil · Bayi / Mağaza,Mobil · Bayi / Mağaza,TL,,Genel azami vade: 18 ay,"Bana Bunu Al bireysel ihtiyaçlarınızı finanse edebileceğiniz ihtiyaç finansmanı (ihtiyaç kredisi)* limitidir. Bu finansman ile mobilya, beyaz eşya, elektronik vb.",https://hayatfinans.com.tr/krediler/bana-bunu-al,2026-08-27T00:00:00+03:00,True,official_source_verified
55,Hayat Finans,alisveris_finansmani,Alışveriş Finansmanı,Bana Bunu Al İş Ortağım,bireysel,,,24 aya kadar,,24 aya kadar,,Mal / hizmet alımı,,Taksitli ödeme,,,Mobil · Şube · Bayi / Mağaza,Mobil · Şube · Bayi / Mağaza,,,Genel azami vade: 24 ay,"Anlaşmalı bayilerimiz aracılığıyla Bankamızdan finansman desteği sağlamak için hızlı ve kolay bir yöntem olan Bana Bunu Al İş Ortağım online platformumuz, ihtiyaçlarınızı kolayca karşılamak için tasarlanmıştır.",https://hayatfinans.com.tr/finansmanlar/bana-bunu-al-is-ortagim,2026-08-12T09:13:37+03:00,True,official_source_verified
11,Kuveyt Türk,alisveris_finansmani,Alışveriş Finansmanı,Alışveriş Finansmanı,bireysel,Hesaplama aracında dinamik,,36 aya kadar,Tablet: 6 ay,36 aya kadar · Tablet: 6 ay,"Tahsis Ücreti: %0,5",Mal / hizmet alımı,,Taksitli ödeme,,,Mobil · Bayi / Mağaza,Mobil · Bayi / Mağaza,TL / EUR,,,ile kredi kartı limitinizi kullanmadan alışverişleriniz için finansman ihtiyacınızı rahatça giderebilirsiniz. En Pratik Finansman: Kuveyt Türk Alışveriş Finansmanı!,https://www.kuveytturk.com.tr/kendim-icin/finansmanlar/alisveris-finansmanlari/alisveris-finansmani,2026-08-12T13:51:44+03:00,True,official_source_verified
12,Kuveyt Türk,alisveris_finansmani,Alışveriş Finansmanı,CebimPOS ile Alışveriş Finansmanı,bireysel,,,36 aya kadar,Tablet: 6 ay,36 aya kadar · Tablet: 6 ay,,Mal / hizmet alımı,,Taksitli ödeme,,,Mobil · Şube · Bayi / Mağaza,Mobil · Şube · Bayi / Mağaza,TL,,,"CebimPos ile Alışveriş Finansmanı, CebimPOS üye işyerlerinde ödeme imkanı sunan bir dijital ihtiyaç finansmanı ürünüdür. Ödemenizi kasada karta, şubeye ihtiyaç duymadan anında yapabilirsiniz.",https://www.kuveytturk.com.tr/kendim-icin/finansmanlar/alisveris-finansmanlari/cebimpos-ile-alisveris-finansmani,2026-08-12T13:51:44+03:00,True,official_source_verified
13,Kuveyt Türk,alisveris_finansmani,Alışveriş Finansmanı,Hepsiburada Alışveriş Finansmanı,bireysel,,,36 aya kadar,Genel: ≤200 bin TL / 36 ay · Cep telefonu: ≤20 bin TL: 12 taksit · >20 bin TL: 3 taksit · Tablet: 6 ay · Bilgisayar: 12 ay,36 aya kadar · Genel: ≤200 bin TL / 36 ay · Cep telefonu: ≤20 bin TL: 12 taksit · >20 bin TL: 3 taksit · Tablet: 6 ay · Bilgisayar: 12 ay,Sigorta Ücreti: alınmıyor · Tahsis Ücreti: alınmıyor,Mal / hizmet alımı,,Taksitli ödeme,,,Mobil,Mobil,TL,,,Alışveriş Finansmanı yapacağınız alışverişlerde taksitli ve avantajlı ödeme imkanı sunan dijital bir finansman ürünüdür. Alışveriş Finansmanı ödeme seçeneğini Hepsiburada alışveriş uygulamasından yapacağınız alışverişlerinizde sepetinizde anında kullanabilirsiniz.,https://www.kuveytturk.com.tr/kendim-icin/finansmanlar/alisveris-finansmanlari/hepsiburada-alisveris-finansmani,2026-08-12T13:51:44+03:00,True,official_source_verified
18,Kuveyt Türk,alisveris_finansmani,Alışveriş Finansmanı,İhtiyaç Kart,bireysel,Hesaplama aracında dinamik,,Toplam harcama için 6–34 ay geri ödeme,Genel geri ödeme: 6–34 ay · Cep telefonu: ≤20 bin TL: 10 taksit · Tablet: 4 ay · Bilgisayar: 4 ay,Toplam harcama için 6–34 ay geri ödeme · Genel geri ödeme: 6–34 ay · Cep telefonu: ≤20 bin TL: 10 taksit · Tablet: 4 ay · Bilgisayar: 4 ay,,Mal / hizmet alımı,,Taksitli ödeme,,Bireysel,Mobil · Bayi / Mağaza,Mobil · Bayi / Mağaza,TL / Yabancı para,,,"sayesinde satıcıdan herhangi bir taksit talebinde bulunmanız gerekmez. Kart, tüm harcamalarınızı kendi taksitlendirir.",https://www.kuveytturk.com.tr/kendim-icin/finansmanlar/alisveris-finansmanlari/ihtiyac-kart,2026-08-12T13:51:44+03:00,True,official_source_verified
14,Kuveyt Türk,alisveris_finansmani,Alışveriş Finansmanı,LC Waikiki Alışveriş Finansmanı,bireysel,Vade farksız,Azami 5.000 TL,3 ay,,Azami 5.000 TL · 3 ay,Sigorta Ücreti: alınmıyor · Tahsis Ücreti: alınmıyor,Mal / hizmet alımı,,Taksitli ödeme,,,Mobil,Mobil,TL,,≤ 5.000 TL · Vade farksız · 3 taksit · 3 ay,Alışveriş Finansmanı yapacağınız alışverişlerde taksitli ve avantajlı ödeme imkanı sunan dijital bir finansman ürünüdür. Alışveriş Finansman ödeme seçeneğini LC Waikiki alışveriş uygulaması ve web sitesinden yapacağınız alışverişlerinizde sepetinizde anında kullanabilirsiniz.,https://www.kuveytturk.com.tr/kendim-icin/finansmanlar/alisveris-finansmanlari/lc-waikiki-alisveris-finansmani,2026-08-12T13:51:44+03:00,True,official_source_verified
15,Kuveyt Türk,alisveris_finansmani,Alışveriş Finansmanı,Taksitlio Alışveriş Finansmanı,bireysel,,,36 aya kadar,Genel: ≤200 bin TL / 36 ay · Cep telefonu: ≤20 bin TL: 12 taksit · >20 bin TL: 3 taksit · Tablet: 6 ay · Bilgisayar: 12 ay,36 aya kadar · Genel: ≤200 bin TL / 36 ay · Cep telefonu: ≤20 bin TL: 12 taksit · >20 bin TL: 3 taksit · Tablet: 6 ay · Bilgisayar: 12 ay,Sigorta Ücreti: alınmıyor · Tahsis Ücreti: alınmıyor,Mal / hizmet alımı,,Taksitli ödeme,,,Mobil · Bayi / Mağaza,Mobil · Bayi / Mağaza,TL,,,Taksitlio Alışveriş Finansmanı yapacağınız alışverişlerde taksitli ve avantajlı ödeme imkanı sunan dijital bir finansman ürünüdür. Taksitlio Alışveriş Finansmanı ödeme seçeneğini Taksitlio’nun anlaşmalı olduğu mağazalardan yapacağınız alışverişlerinizde kasada ödeme anında kullanabilirsiniz.,https://www.kuveytturk.com.tr/kendim-icin/finansmanlar/alisveris-finansmanlari/taksitlio-alisveris-finansmani,2026-08-12T13:51:44+03:00,True,official_source_verified
16,Kuveyt Türk,alisveris_finansmani,Alışveriş Finansmanı,Teknosa Alışveriş Finansmanı,bireysel,,,36 aya kadar,Genel: ≤200 bin TL / 36 ay · Cep telefonu: ≤20 bin TL: 12 taksit · >20 bin TL: 3 taksit · Tablet: 6 ay · Bilgisayar: 12 ay,36 aya kadar · Genel: ≤200 bin TL / 36 ay · Cep telefonu: ≤20 bin TL: 12 taksit · >20 bin TL: 3 taksit · Tablet: 6 ay · Bilgisayar: 12 ay,Sigorta Ücreti: alınmıyor · Tahsis Ücreti: alınmıyor,Mal / hizmet alımı,,Taksitli ödeme,,,Mobil,Mobil,TL,,,Alışveriş Finansmanı yapacağınız alışverişlerde taksitli ve avantajlı ödeme imkanı sunan dijital bir finansman ürünüdür. Alışveriş Finansmanı ödeme seçeneğini Teknosa mobil uygulamasından veya web sitesinden yapacağınız alışverişlerinizde sepetinizde anında kullanabilirsiniz.,https://www.kuveytturk.com.tr/kendim-icin/finansmanlar/alisveris-finansmanlari/teknosa-alisveris-finansmani,2026-08-12T13:51:44+03:00,True,official_source_verified
