id,campaign_id,benefit_type,amount,rate,points,minimum_spending,maximum_benefit,description,evidence,extracted_at
6251,1,installment,,,,,,8 taksit,8 Taksit Fırsatıyla KASKO Zamanı!,2026-08-10T13:45:46+00:00
6252,2,shopping_points,,,200.0,1500.0,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı","Akaryakıt Kampanyası Akaryakıt harcamalarına özel her 1.500 TL ve üzeri harcamaya 50 TL, toplamda 200 TL Worldpuan kazanın!",2026-08-10T13:45:46+00:00
6255,4,shopping_points,,,2000.0,,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Şimdi kendiniz ve çocuğunuz için Albaraka Mobil’den yaptıracağınız BES’lerden toplamda 2.000 TL Worldpuan kazanma fırsatı sizlerle.,2026-08-10T13:45:46+00:00
6256,4,reward,2000.0,,,,2000.0,Ödül veya hediye tutarı,Kampanyadan en fazla 2.000 TL Worlpuan kazanılabilir.,2026-08-10T13:45:46+00:00
6259,5,shopping_points,,,2000.0,,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Şimdi mobilden yaptıracağınız sigortalarınız için toplam 2.000 TL Worldpuan kazanma fırsatı sizlerle.,2026-08-10T13:45:46+00:00
6260,5,reward,2000.0,,,,2000.0,Ödül veya hediye tutarı,Kampanyadan en fazla 2.000 TL Worlpuan kazanılabilir.,2026-08-10T13:45:46+00:00
6331,6,discount,1000.0,,,,1000.0,1.000 TL indirim,Bilet.com’da 1.000 TL’ye varan GastroClub İndirimi!,2026-08-10T13:45:46+00:00
6332,6,discount,,50.0,,,,%50 indirim,Four Seasons'ta GastroClub Ayrıcalıkları Temiz.co’da %50 GastroClub İndirimi!,2026-08-10T13:45:46+00:00
6333,6,discount,,20.0,,,,%20 indirim,Cabs Coffee'de %20 GastroClub İndirimi!,2026-08-10T13:45:46+00:00
6334,6,shopping_points,,,300.0,,,"Altın Puan, Worldpuan, ParafPara, Bankkart Lira veya alışveriş puanı",Nasıl Puan Kazanılır?,2026-08-10T13:45:46+00:00
6268,9,discount,250.0,,,,250.0,250 TL indirim,"Siz de hemen Albaraka kredi kartları ile bilet.com sı üzerinden etkinlik bileti alın, 250 TL indirim kodu kazanın!",2026-08-10T13:45:46+00:00
6269,10,discount,2500.0,,,,2500.0,2.500 TL indirim,"Siz de hemen Albaraka kredi kartları ile bilet.com sı üzerinden otel rezervasyonu yapın, 2.500 TL indirim kodu kazanın!",2026-08-10T13:45:46+00:00
