campaign_id,minimum_transaction_amount,maximum_transaction_amount,installment_count,installment_cost_rate,installment_cost_text,evidence_text,extracted_at
1,,,8,,,8 Taksit Fırsatıyla KASKO Zamanı!,2026-08-10T13:45:46+00:00
13,,,3,,,Üstelik peşin fiyatına 3 taksit avantajı ile.,2026-08-10T13:45:46+00:00
15,,,12,0.0,Vade farksız (%0),Pratik Finansman Kart Finansman Kampanyası Koşulları Albaraka Mobil Mobil Bankacılık Aç Dijital Müşterilere Özel Pratik Finansman Kart Kampanya Başlangıç ve Bitiş 01.01.2026 - 31.12.2026 Müşteri Ol Müşteri Ol Vade farksız 40.000 TL ve uygun oranlı hoş geldin finansmanı Albaraka'da!,2026-08-10T13:45:46+00:00
18,,,6,0.0,Vade farksız (%0),"Eğitim Harcamalarınıza Vade Farksız 6 Taksit Kampanyası Albaraka Mobil Mobil Bankacılık Aç Eğitim Harcamalarınıza Vade Farksız 6 Taksit Kampanyası Kampanya Başlangıç ve Bitiş 01.07.2026 - 30.09.2026 Müşteri Ol Müşteri Ol Albaraka Mobil'de Kampanyalar sayfasından kampanyaya katılım sağlayarak, World kartlarınız ile kampanyaya katıldıktan sonra yapacağınız 30.000 TL- 500.000 TL arası okul ödemelerinize vade farksız 6 taksit fırsatını kaçırmayın!",2026-08-10T13:45:46+00:00
19,10000.0,14999.0,,,,,2026-08-10T13:45:46+00:00
26,,,4,0.0,Vade farksız (%0),Kampanyaya Katılım Adımları: Albaraka Mobil Mobil Bankacılık Aç Kırtasiye Kampanyası Kampanya Başlangıç ve Bitiş 01.06.2026 - 30.09.2026 Albaraka Mobil Albaraka Mobil 1.000 TL- 20.000 TL arası kırtasiye harcamalarınızda vade farksız 4 taksit fırsatını kaçırmayın!,2026-08-10T13:45:46+00:00
28,,,3,0.0,Vade farksız (%0),Limitsiz İMM Sigortasında Vade Farksız 3 Taksit!,2026-08-10T13:45:46+00:00
29,,,3,0.0,Vade farksız (%0),MTV Ödemelerinize Vade Farksız 3 Taksit!,2026-08-10T13:45:46+00:00
39,,,6,0.0,Vade farksız (%0),Sağlık Harcamalarına Vade Farksız 6 Taksit Kampanyası Albaraka Mobil Mobil Bankacılık Aç Sağlık Harcamalarına Vade Farksız 6 Taksit Kampanyası Kampanya Başlangıç ve Bitiş 01.07.2026 - 31.07.2026 Müşteri Ol Müşteri Ol TROY kredi kartlarınız ile yapacağınız 1.000 TL- 100.000 TL arası sağlık harcamalarınıza vade farksız 6 taksit fırsatı!,2026-08-10T13:45:46+00:00
40,,,4,0.0,Vade farksız (%0),"Satırdan Sanata, Ek %10 İndirim ve Vade Farksız 4 Taksit Albaraka’da!",2026-08-10T13:45:46+00:00
49,,,4,0.0,Vade farksız (%0),Vade Farksız Finansman: 50.000 TL’ye kadar vade farksız finansman imkânı.,2026-08-10T13:45:46+00:00
50,,,6,0.0,Vade farksız (%0),Vade Farksız 140.000 TL’ye Varan Destek!,2026-08-10T13:45:46+00:00
53,,,6,,,Amazon.com.tr Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
54,,,9,,,"Arçelik, Altus ve Beko Harcamalarınızda World’e Özel 9 Taksit Fırsatı!",2026-08-10T13:45:46+00:00
55,,,3,,,BAUHAUS Harcamalarınızda World’e Özel 3 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
56,,,6,,,Beymen Club Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
57,,,9,,,BOSCH Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
58,,,6,,,Civil Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
59,,,6,,,Continental Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
60,,,7,,,D&R Harcamalarınızda World’e Özel 7 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
61,,,5,,,Deichmann Harcamalarınızda World’e Özel 5 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
62,,,9,0.0,Vade farksız (%0),Dyson Harcamalarınızda World'e Özel 9 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
63,,,6,,,Fiat Yetkili Servislerde World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
67,1000.0,6000.0,6,,,Hepsiburada Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
68,,,6,,,İdefix Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
69,,,9,,,"İstikbal, Bellona ve Mondihome'da World’e Özel 9 Taksit Fırsatı!",2026-08-10T13:45:46+00:00
70,,,6,,,Kiğılı ve Abdullah Kiğılı Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
71,,,6,,,LC Waikiki Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
72,,,6,,,MediaMarkt Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
73,,,9,,,Modalife Harcamalarınızda World’e Özel 9 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
74,,,6,,,n11.com Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
75,,,6,,,Network Harcamalarınızda World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
76,,,6,,,Opel Yetkili Servislerde World’e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
77,,,7,,,Opmar Optik Harcamalarınızda World'e Özel 6 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
78,,,4,,,Pegasus Uçuşlarınızda World'e Özel 4 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
79,,,7,,,Saat&Saat Harcamalarınızda World’e Özel 7 Taksit Fırsatı!,2026-08-10T13:45:46+00:00
80,45000.0,69999.0,12,,,"Peşin, 3 taksitli veya 6 taksitli alışverişlerden kampanyaya uygun olarak ilk yapılan alışveriş üzerinden Worldpuan kazanacaktır.",2026-08-10T13:45:46+00:00
81,45000.0,69999.0,12,,,"Peşin, 3 taksitli veya 6 taksitli alışverişlerden kampanyaya uygun olarak ilk yapılan alışveriş üzerinden Worldpuan kazanacaktır.",2026-08-10T13:45:46+00:00
82,45000.0,69999.0,12,,,"Peşin, 3 taksitli veya 6 taksitli alışverişlerden kampanyaya uygun olarak ilk yapılan alışveriş üzerinden Worldpuan kazanacaktır.",2026-08-10T13:45:46+00:00
