campaign_id,bank_name,campaign_name,campaign_category,source_group,source_url,start_date,end_date,current_status,listing_status,fetch_status,comparison_eligible,classification_confidence,classification_reason,first_seen_at,last_seen_at,last_checked_at,finance_type,profit_share_rate_min,profit_share_rate_max,financing_amount_min,financing_amount_max,maturity_min_months,maturity_max_months,installment_count,allocation_fee_amount,allocation_fee_rate,allocation_fee_status,expense_status,expense_details,campaign_advantage,grace_period_months
1,Albaraka Türk,8 Taksit Fırsatıyla KASKO Zamanı!,card_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/8-taksit-firsatiyla-kasko-zamani-3,2026-03-01,2026-12-31,active,unknown,ok,1,0.94,Kart harcamasına taksit/vade farksız avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
2,Albaraka Türk,Akaryakıt Kampanyası,points_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/akaryakit-kampanyasi-2_1,2026-07-01,2026-07-31,active,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-07-31T05:19:46+00:00,2026-07-31T05:19:46+00:00,,,,,,,,,,,,,,,
393,Albaraka Türk,Akaryakıt Kampanyası,points_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/akaryakit-kampanyasi-troy,2026-08-01,2026-08-31,active,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-08-10T06:03:45+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
41,Albaraka Türk,Albaraka Mobil\u0027de Şimdi \,discount_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/seckin-firsatlar,2025-05-28,2026-12-31,active,unknown,ok,1,0.94,İndirim veya iade avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
396,Albaraka Türk,Albaraka Müşterilerine Özel Marina Aquapark’ta %20 indirim!,discount_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/albaraka-musterilerine-ozel-marina-aquaparkta-20-indirim,2026-08-01,2026-08-31,active,unknown,ok,1,0.94,İndirim veya iade avantajı bulundu.,2026-08-10T06:03:45+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
4,Albaraka Türk,Albaraka ile Geleceğim Güvende!,points_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/albaraka-ile-gelecegim-guvende-9,2026-07-01,2026-07-31,active,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-07-31T05:19:46+00:00,2026-07-31T05:19:46+00:00,,,,,,,,,,,,,,,
394,Albaraka Türk,Albaraka ile Geleceğim Güvende!,points_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/albaraka-ile-gelecegim-guvende-10,2026-08-01,2026-08-31,active,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-08-10T06:03:45+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
5,Albaraka Türk,Albaraka ile Kazandıran Sigorta!,points_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/albaraka-ile-kazandiran-sigorta-9,2026-07-01,2026-07-31,active,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-07-31T05:05:07+00:00,2026-07-31T05:19:46+00:00,2026-07-31T05:19:46+00:00,,,,,,,,,,,,,,,
395,Albaraka Türk,Albaraka ile Kazandıran Sigorta!,points_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/albaraka-ile-kazandiran-sigorta-10,2026-08-01,2026-08-31,active,unknown,ok,1,0.96,Puan avantajı bulundu.,2026-08-10T06:03:45+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
7,Albaraka Türk,Albaraka\u0027da Masraflara Son!,other_campaign,Genel Kampanyalar,https://albaraka.com.tr/tr/kampanyalar/detay/albarakada-masraflara-son,2020-01-01,2026-12-31,active,unknown,ok,1,0.84,"Kampanya ifadesiyle tutar, oran veya dönem kanıtı bulundu.",2026-07-31T05:05:07+00:00,2026-08-10T11:17:32+00:00,2026-08-10T11:17:32+00:00,,,,,,,,,,,,,,,
