id,product_id,min_amount,max_amount,min_inclusive,max_inclusive,max_maturity_months,source_text,updated_at
336,556,800001.0,1200000.0,0,1,24,800.001 TL – 1.200.000 TL arasında bulunduğunda azami vade 24 ay,2026-08-12T11:10:22+00:00
337,609,,125000.0,0,1,36,125.000 TL’ye kadar olması durumunda en fazla 36 ay,2026-08-12T11:10:22+00:00
338,609,125000.0,250000.0,0,1,24,125.000- 250.000 TL arasında en fazla 24 ay,2026-08-12T11:10:22+00:00
339,609,250000.0,,0,1,12,250.000 TL’den fazla olması durumunda en fazla 12 ay,2026-08-12T11:10:22+00:00
397,617,,400000.0,0,1,48,400.000 TL'ye kadar araçlar için maksimum vade süresi 48 ay,2026-08-13T11:10:38+00:00
398,617,400000.0,800000.0,0,1,36,400.000 - 800.000 TL arası araçlar için maksimum vade süresi 36 ay,2026-08-13T11:10:38+00:00
399,617,800000.0,1200000.0,0,1,24,800.000 TL - 1.200.000 TL arası araçlar için maksimum vade süresi 24 ay,2026-08-13T11:10:38+00:00
400,617,1200000.0,2000000.0,0,1,12,1.200.000 - 2.000.000 TL arasında araçlar için maksimum vade süresi 12 ay,2026-08-13T11:10:38+00:00
401,619,,400000.0,0,1,48,400.000 TL'ye kadar araçlar için maksimum vade süresi 48 ay,2026-08-13T11:10:38+00:00
402,619,400000.0,800000.0,0,1,36,400.000 - 800.000 TL arası araçlar için maksimum vade süresi 36 ay,2026-08-13T11:10:38+00:00
403,619,800000.0,1200000.0,0,1,24,800.000 TL - 1.200.000 TL arası araçlar için maksimum vade süresi 24 ay,2026-08-13T11:10:38+00:00
404,619,1200000.0,2000000.0,0,1,12,1.200.000 - 2.000.000 TL arasında araçlar için maksimum vade süresi 12 ay,2026-08-13T11:10:38+00:00
405,625,,125000.0,0,1,36,125.000 TL’ ye kadar olması durumunda maksimum vade 36 ay,2026-08-13T11:10:38+00:00
406,625,,250000.0,0,1,24,250.000 TL’ ye kadar olması durumunda maksimum vade 24 ay,2026-08-13T11:10:38+00:00
407,625,0.0,,0,1,12,000 TL’den fazla olması durumunda maksimum vade 12 ay,2026-08-13T11:10:38+00:00
408,625,125000.0,250000.0,0,1,24,125.000 - 250.000 TL’ ye kadar olması durumunda maksimum vade 24 ay,2026-08-13T11:10:38+00:00
409,627,,125000.0,0,1,36,125.000 TL’ ye kadar olması durumunda maksimum vade 36 ay,2026-08-13T11:10:38+00:00
410,627,,250000.0,0,1,24,250.000 TL’ ye kadar olması durumunda maksimum vade 24 ay,2026-08-13T11:10:38+00:00
411,627,125000.0,250000.0,0,1,24,125.000 - 250.000 TL’ ye kadar olması durumunda maksimum vade 24 ay,2026-08-13T11:10:38+00:00
412,627,250000.0,,0,1,12,250.000 TL’den fazla olması durumunda maksimum vade 12 ay,2026-08-13T11:10:38+00:00
413,634,,125000.0,0,1,36,125.000TL’ye kadar olması durumunda maksimum vade 36 ay,2026-08-13T11:10:38+00:00
