id,product_id,category_key,category_label,min_amount,max_amount,min_inclusive,max_inclusive,max_installments,max_maturity_months,condition_text,source_text,updated_at
529,566,cep_telefonu,Cep Telefonu,,20000.0,0,1,12,,≤ 20.000 TL,"Cep Telefonu alışverişleriniz 20.000 TL’ye kadar en fazla 12 taksit, 20.000 TL’nin üzerinde ise en fazla 3 taksit",2026-08-12T11:10:22+00:00
530,566,cep_telefonu,Cep Telefonu,20000.0,,0,1,3,,> 20.000 TL,"Cep Telefonu alışverişleriniz 20.000 TL’ye kadar en fazla 12 taksit, 20.000 TL’nin üzerinde ise en fazla 3 taksit",2026-08-12T11:10:22+00:00
531,566,tablet,Tablet,,,0,1,,6,Tüm tutarlar,Tablet alışverişleriniz maksimum 6 ay vadelendirilmektedir.,2026-08-12T11:10:22+00:00
532,566,bilgisayar,Bilgisayar,,,0,1,,12,Tüm tutarlar,Bilgisayar alışverişleriniz maksimum 12 ay vadelendirilmektedir.,2026-08-12T11:10:22+00:00
533,567,cep_telefonu,Cep Telefonu,,20000.0,0,1,12,,≤ 20.000 TL,"Cep Telefonu alışverişleriniz 20.000 TL’ye kadar en fazla 12 taksit, 20.000 TL’nin üzerinde ise en fazla 3 taksit",2026-08-12T11:10:22+00:00
534,567,cep_telefonu,Cep Telefonu,20000.0,,0,1,3,,> 20.000 TL,"Cep Telefonu alışverişleriniz 20.000 TL’ye kadar en fazla 12 taksit, 20.000 TL’nin üzerinde ise en fazla 3 taksit",2026-08-12T11:10:22+00:00
535,567,tablet,Tablet,,,0,1,,6,Tüm tutarlar,Tablet alışverişleriniz maksimum 6 ay vadelendirilmektedir.,2026-08-12T11:10:22+00:00
536,567,bilgisayar,Bilgisayar,,,0,1,,12,Tüm tutarlar,Bilgisayar alışverişleriniz maksimum 12 ay vadelendirilmektedir.,2026-08-12T11:10:22+00:00
537,568,cep_telefonu,Cep Telefonu,,20000.0,0,1,12,,≤ 20.000 TL,"Cep Telefonu alışverişleriniz 20.000 TL’ye kadar en fazla 12 taksit, 20.000 TL’nin üzerinde ise en fazla 3 taksit",2026-08-12T11:10:22+00:00
538,568,cep_telefonu,Cep Telefonu,20000.0,,0,1,3,,> 20.000 TL,"Cep Telefonu alışverişleriniz 20.000 TL’ye kadar en fazla 12 taksit, 20.000 TL’nin üzerinde ise en fazla 3 taksit",2026-08-12T11:10:22+00:00
539,568,tablet,Tablet,,,0,1,,6,Tüm tutarlar,Tablet alışverişleriniz en fazla 6 ay vadelendirilmektedir.,2026-08-12T11:10:22+00:00
540,568,bilgisayar,Bilgisayar,,,0,1,,12,Tüm tutarlar,Bilgisayar alışverişleriniz en fazla 12 ay vadelendirilmektedir.,2026-08-12T11:10:22+00:00
541,570,cep_telefonu,Cep Telefonu,,20000.0,0,1,12,,≤ 20.000 TL,"Cep Telefonu alışverişleriniz 20.000 TL’ye kadar en fazla 12 taksit, 20.000 TL’nin üzerinde ise en fazla 3 taksit",2026-08-12T11:10:22+00:00
542,570,cep_telefonu,Cep Telefonu,20000.0,,0,1,3,,> 20.000 TL,"Cep Telefonu alışverişleriniz 20.000 TL’ye kadar en fazla 12 taksit, 20.000 TL’nin üzerinde ise en fazla 3 taksit",2026-08-12T11:10:22+00:00
543,570,tablet,Tablet,,,0,1,,6,Tüm tutarlar,Tablet alışverişleriniz en fazla 6 ay vadelendirilmektedir.,2026-08-12T11:10:22+00:00
544,570,bilgisayar,Bilgisayar,,,0,1,,12,Tüm tutarlar,Bilgisayar alışverişleriniz en fazla 12 ay vadelendirilmektedir.,2026-08-12T11:10:22+00:00
545,571,cep_telefonu,Cep Telefonu,,20000.0,0,1,12,,≤ 20.000 TL,"Cep Telefonu alışverişleriniz 20.000 TL’ye kadar en fazla 12 taksit, 20.000 TL’nin üzerinde ise en fazla 3 taksit",2026-08-12T11:10:22+00:00
546,571,cep_telefonu,Cep Telefonu,20000.0,,0,1,3,,> 20.000 TL,"Cep Telefonu alışverişleriniz 20.000 TL’ye kadar en fazla 12 taksit, 20.000 TL’nin üzerinde ise en fazla 3 taksit",2026-08-12T11:10:22+00:00
547,571,tablet,Tablet,,,0,1,,6,Tüm tutarlar,Tablet alışverişleriniz en fazla 6 ay vadelendirilmektedir.,2026-08-12T11:10:22+00:00
548,571,bilgisayar,Bilgisayar,,,0,1,,12,Tüm tutarlar,Bilgisayar alışverişleriniz en fazla 12 ay vadelendirilmektedir.,2026-08-12T11:10:22+00:00
549,572,cep_telefonu,Cep Telefonu,,20000.0,0,1,12,,≤ 20.000 TL,"Cep Telefonu alışverişleriniz 20.000 TL’ye kadar en fazla 12 taksit, 20.000 TL’nin üzerinde ise en fazla 3 taksit",2026-08-12T11:10:22+00:00
550,572,cep_telefonu,Cep Telefonu,20000.0,,0,1,3,,> 20.000 TL,"Cep Telefonu alışverişleriniz 20.000 TL’ye kadar en fazla 12 taksit, 20.000 TL’nin üzerinde ise en fazla 3 taksit",2026-08-12T11:10:22+00:00
551,572,tablet,Tablet,,,0,1,,6,Tüm tutarlar,Tablet alışverişleriniz en fazla 6 ay vadelendirilmektedir.,2026-08-12T11:10:22+00:00
552,572,bilgisayar,Bilgisayar,,,0,1,,12,Tüm tutarlar,Bilgisayar alışverişleriniz en fazla 12 ay vadelendirilmektedir.,2026-08-12T11:10:22+00:00
553,609,cep_telefonu,Cep Telefonu,,20000.0,0,1,12,,≤ 20.000 TL,"20.000 TL’ye kadar cep telefonu alımları 12, 20.000 TL üzeri cep telefonu alımları 3",2026-08-12T11:10:22+00:00
554,609,cep_telefonu,Cep Telefonu,20000.0,,0,1,3,,> 20.000 TL,"20.000 TL’ye kadar cep telefonu alımları 12, 20.000 TL üzeri cep telefonu alımları 3",2026-08-12T11:10:22+00:00
555,609,tablet,Tablet,,,0,1,6,,Tüm tutarlar,"20.000 TL’ye kadar cep telefonu alımları 12, 20.000 TL üzeri cep telefonu alımları 3, bilgisayar alımları 12, tablet alımları 6 taksit ile sınırlandırılmıştır.",2026-08-12T11:10:22+00:00
