id,product_id,fee_type,fee_label,waived,amount,rate,note,updated_at
498,566,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
499,568,insurance,Sigorta Ücreti,1,,,Kaynakta alınmayacağı açıkça belirtiliyor.,2026-08-12T11:10:22+00:00
500,568,allocation,Tahsis Ücreti,1,,,Kaynakta alınmayacağı açıkça belirtiliyor.,2026-08-12T11:10:22+00:00
501,569,insurance,Sigorta Ücreti,1,,,Kaynakta alınmayacağı açıkça belirtiliyor.,2026-08-12T11:10:22+00:00
502,569,allocation,Tahsis Ücreti,1,,,Kaynakta alınmayacağı açıkça belirtiliyor.,2026-08-12T11:10:22+00:00
503,570,insurance,Sigorta Ücreti,1,,,Kaynakta alınmayacağı açıkça belirtiliyor.,2026-08-12T11:10:22+00:00
504,570,allocation,Tahsis Ücreti,1,,,Kaynakta alınmayacağı açıkça belirtiliyor.,2026-08-12T11:10:22+00:00
505,571,insurance,Sigorta Ücreti,1,,,Kaynakta alınmayacağı açıkça belirtiliyor.,2026-08-12T11:10:22+00:00
506,571,allocation,Tahsis Ücreti,1,,,Kaynakta alınmayacağı açıkça belirtiliyor.,2026-08-12T11:10:22+00:00
507,572,insurance,Sigorta Ücreti,1,,,Kaynakta alınmayacağı açıkça belirtiliyor.,2026-08-12T11:10:22+00:00
508,572,allocation,Tahsis Ücreti,1,,,Kaynakta alınmayacağı açıkça belirtiliyor.,2026-08-12T11:10:22+00:00
509,574,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
510,575,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
511,576,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
512,577,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
513,579,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
514,587,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
515,588,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
516,590,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
517,603,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
518,604,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
519,607,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
520,608,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
521,609,allocation,Tahsis Ücreti,0,,0.0,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-12T11:10:22+00:00
522,615,insurance,Sigorta Ücreti,1,,,Kaynakta alınmayacağı açıkça belirtiliyor.,2026-08-12T11:10:22+00:00
523,615,general_expense,Masraf,1,,,Kaynakta masraf alınmadığı açıkça belirtiliyor.,2026-08-12T11:10:22+00:00
554,616,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-13T11:10:38+00:00
555,617,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-13T11:10:38+00:00
556,618,allocation,Tahsis Ücreti,0,,0.5,Kaynak maliyet tablosu veya açık tahsis ücreti ifadesinden çıkarıldı.,2026-08-13T11:10:38+00:00
