id,product_id,rule_type,rule_label,min_amount,max_amount,min_inclusive,max_inclusive,max_installments,max_maturity_months,interest_free,condition_text,source_text,updated_at
163,561,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,,1,Vade farksız,vade farksız,2026-08-12T11:10:22+00:00
164,569,product_offer,Ürüne Özel Finansman Koşulu,,5000.0,0,1,3,3,1,≤ 5.000 TL · Vade farksız · 3 taksit · 3 ay,"Çocuk kıyafetlerinden ev eşyasına, giyimden aksesuara LC Waikiki’den alacağınız ürünlerde 5000 TL’ye kadar vade farksız 3 ay taksit imkanı ile Alışveriş Finansmanı fırsatını kullanabilir, kredi kartı limitiniz ve nakit paranızdan harcamadan alışveriş keyfinizi sürdürebilirsiniz.",2026-08-12T11:10:22+00:00
165,597,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,60,0,Genel azami vade: 60 ay,60 aya kadar vadeler,2026-08-12T11:10:22+00:00
166,609,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,18,0,Genel azami vade: 18 ay,Finansmanın maksimum vadesi 18 ay,2026-08-12T11:10:22+00:00
167,610,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,24,0,Genel azami vade: 24 ay,24 aya varan vadeler,2026-08-12T11:10:22+00:00
168,615,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,,1,Vade farksız,Vade farksız,2026-08-12T11:10:22+00:00
202,618,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,48,0,Genel azami vade: 48 ay,Finansmanın maksimum vadesi 48 ay,2026-08-13T11:10:38+00:00
203,620,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,48,0,Genel azami vade: 48 ay,Finansmanın maksimum vadesi 48 ay,2026-08-13T11:10:38+00:00
204,622,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,120,0,Genel azami vade: 120 ay,Finansmanın maksimum vadesi 120 ay,2026-08-13T11:10:38+00:00
205,626,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,36,0,Genel azami vade: 36 ay,36 aya varan vadeler,2026-08-13T11:10:38+00:00
206,626,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,,0,Minimum taksitlendirme tutarı 100 TL · 100 TL altı harcamalar peşin yansıtılır · Ödedikçe limit yeniden kullanıma açılır,Minimum taksitlendirme tutarı 100 TL’dir.,2026-08-13T11:10:38+00:00
207,628,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,84,0,Genel azami vade: 84 ay,Finansmanın maksimum vadesi 84 ay,2026-08-13T11:10:38+00:00
208,634,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,36,0,Genel azami vade: 36 ay,36 aya varan vadeler,2026-08-13T11:10:38+00:00
251,639,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,36,0,Genel azami vade: 36 ay,36 aya varan vadeler,2026-08-13T11:49:11+00:00
252,655,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,48,0,Genel azami vade: 48 ay,48 aya varan vadeler,2026-08-13T11:49:11+00:00
253,656,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,48,0,Genel azami vade: 48 ay,48 aya varan vadeler,2026-08-13T11:49:11+00:00
254,659,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,48,0,Genel azami vade: 48 ay,48 aya varan vadeler,2026-08-13T11:49:11+00:00
255,660,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,36,0,Genel azami vade: 36 ay,36 aya varan vadeler,2026-08-13T11:49:11+00:00
256,674,product_offer,Ürüne Özel Finansman Koşulu,,,0,1,,,0,İlk taksit 2 ay sonra; isteğe bağlı 3 aya varan ödemesiz dönem,için birden fazla finansman kullanımını yapabilirsiniz. Pratik Finansman Kartta ilk taksit tarihiniz 2 ay sonraya otomatik olarak atanır. Dilerseniz 3 aya varan ödemesiz dönem seçebilirsiniz. Kartın kullanım süresini bu seçiminize göre belirleyebilirsiniz. 125.000 TL’ye kadar 2 ay ödemesiz dönem seçeneği ile 36 aya,2026-08-13T11:49:11+00:00
257,677,product_offer,Ürüne Özel Finansman Koşulu,,50000.0,0,1,4,,1,50.000 TL'ye kadar vade farksız · 4 taksite kadar,mları ve daha fazlası için tıklayınız. Neler Sunuyoruz? Vade Farksız Finansman: 50.000 TL’ye kadar vade farksız finansman imkânı. Kolay Geri Ödeme: 4 taksite kadar geri ödeme seçeneği. Tamamen Dijital Süreç: Başvurudan onaya kadar tüm süreç Albaraka Mobil üzerinden yürütülür. Şubeye gitmeni · Finansman: 50.000 TL’ye kadar vade farksız finansman imkânı. Kolay Geri Ödeme: 4 taksite kadar geri ödeme seçeneği. Tamamen Dijital Süreç: Başvurudan onaya kadar tüm süreç Albaraka Mobil üzerinden yürütülür. Şubeye gitmenize gerek kalmaz. Başvuru Adımları Albaraka Mobil Uygulamasını indirerek,2026-08-13T11:49:11+00:00
