id,product_id,maturity_months,profit_share_rate,allocation_fee_rate,monthly_total_cost_rate,annual_total_cost_rate,source_text,updated_at,pricing_variant,financing_amount
3411,566,12,4.52,,8.072,96.8644,"10.000 TL | 12 Ay | %4,52 | 1.169,99 TL | 86,30 TL | %8,0720 | %96,8644",2026-08-12T11:10:22+00:00,Standart,
3412,603,12,4.82,,8.7868,105.4413,"10.000 TL | 12 Ay | 4,82 % | 1.194,41 TL | 86,30 TL | 8,7868% | 105,4413%",2026-08-12T11:10:22+00:00,Standart,
3413,604,12,4.82,,8.7868,105.4413,"10,000 TL | 12 Ay | 4,82 % | 1.194,41 TL | 86,30 TL | 8,7868 % | 105,4413 %",2026-08-12T11:10:22+00:00,Standart,
3414,607,12,4.82,,8.7868,105.4413,"10.000 TL | 12 Ay | 4,82 % | 1.194,41 TL | 86,30 TL | 8,7868% | 105,4413%",2026-08-12T11:10:22+00:00,Standart,
3415,608,12,4.82,,8.7868,105.4413,"10.000 TL | 12 Ay | 4,82 % | 1.150,63 TL | 86,30 TL | 8,7868 % | 105,4413%",2026-08-12T11:10:22+00:00,Standart,
3416,609,6,4.25,0.0,5.53,90.66,6 | %4.25 | %0 | %5.53 | %90.66,2026-08-12T11:10:22+00:00,Maliyet Tablosu,
3417,609,12,4.25,0.0,5.53,90.66,12 | %4.25 | %0 | %5.53 | %90.66,2026-08-12T11:10:22+00:00,Maliyet Tablosu,
3418,609,18,4.25,0.0,5.53,90.77,18 | %4.25 | %0 | %5.53 | %90.77,2026-08-12T11:10:22+00:00,Maliyet Tablosu,
3807,616,3,3.67,0.5,5.07,81.11,"3 | 3,67% | 0,50% | 5,07% | 81,11%",2026-08-13T11:10:38+00:00,Sigortalı · 0 km,
3808,616,6,3.67,0.5,4.95,78.49,"6 | 3,67% | 0,50% | 4,95% | 78,49%",2026-08-13T11:10:38+00:00,Sigortalı · 0 km,
3809,616,12,3.63,0.5,4.81,75.81,"12 | 3,63% | 0,50% | 4,81% | 75,81%",2026-08-13T11:10:38+00:00,Sigortalı · 0 km,
3810,616,18,3.56,0.5,4.7,73.61,"18 | 3,56% | 0,50% | 4,70% | 73,61%",2026-08-13T11:10:38+00:00,Sigortalı · 0 km,
3811,616,24,3.52,0.5,4.64,72.24,"24 | 3,52% | 0,50% | 4,64% | 72,24%",2026-08-13T11:10:38+00:00,Sigortalı · 0 km,
3812,616,36,3.48,0.5,4.57,70.88,"36 | 3,48% | 0,50% | 4,57% | 70,88%",2026-08-13T11:10:38+00:00,Sigortalı · 0 km,
