product_id,bank_name,product_family_key,product_family,product_name,scope,source_page,minimum_financing_amount,maximum_financing_amount,minimum_maturity_months,maximum_maturity_months,profit_share_rate,profit_share_rate_text,interest_free,interest_free_text,checked_at,extracted_at,maturity_rules_text,maturity_reference_upper_amount,financing_ratio_rules_text,maximum_financing_ratio,housing_first_home_rules_text,housing_additional_home_rules_text,housing_finance_rules_json,vehicle_finance_rules_text,vehicle_age_rules_text,shopping_general_limit_amount,shopping_general_max_maturity_months,shopping_finance_rules_text,fee_waiver_text,insurance_fee_waived,allocation_fee_waived,commission_fee_waived,shopping_phone_rule_text,shopping_tablet_max_maturity_months,shopping_computer_max_maturity_months,finance_rules_json,source_url
639,Albaraka Türk,alisveris_finansmani,Alışveriş Finansmanı,Bayide Finansman,bireysel,https://www.albaraka.com.tr/tr/bireysel/finansmanlar,,,,36,,,0,,2026-08-13T11:47:25+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,Bilgisayar: 36 ay,,0,0,0,,,36,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [{""condition_text"": ""Genel azami vade: 36 ay"", ""interest_free"": false, ""max_amount"": null, ""max_inclusive"": true, ""max_installments"": null, ""max_maturity_months"": 36, ""min_amount"": null, ""min_inclusive"": false, ""rule_label"": ""Ürüne Özel Finansman Koşulu"", ""rule_type"": ""product_offer"", ""source_text"": ""36 aya varan vadeler""}], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/bireysel/finansmanlar/bayide-finansman
640,Albaraka Türk,arac_finansmani,Araç Finansmanı,Deniz Taşıtları Finansmanı,bireysel,https://www.albaraka.com.tr/tr/bireysel/finansmanlar,,,,36,,,0,,2026-08-13T11:47:26+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/bireysel/finansmanlar/tasit-finansmani/deniz-tasitlari-finansmani
641,Albaraka Türk,arac_finansmani,Araç Finansmanı,Dijital Araç Finansmanı,bireysel,https://www.albaraka.com.tr/tr/bireysel/finansmanlar,,,,36,,,0,,2026-08-13T11:47:27+00:00,2026-08-13T11:48:06+00:00,,,,,,,,"≤400 bin: %70 / 48 ay · 400 bin–800 bin: %50 / 36 ay · 800 bin–1,2 mn: %30 / 24 ay · 1,2 mn–2 mn: %20 / 12 ay · >2 mn: Kullandırım yok",,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/bireysel/finansmanlar/tasit-finansmani/dijital-arac-finansmani
642,Albaraka Türk,arac_finansmani,Araç Finansmanı,Taşıt Finansmanı,bireysel,https://www.albaraka.com.tr/tr/bireysel/finansmanlar,,,,48,,Hesaplama aracında dinamik,0,,2026-08-13T11:47:29+00:00,2026-08-13T11:48:06+00:00,≤ 400.000 TL → 48 ay | 400.001–800.000 TL → 36 ay | 800.001–1.200.000 TL → 24 ay | 1.200.001–2.000.000 TL → 12 ay,2000000.0,≤ 400.000 TL → %70 | 400.001–800.000 TL → %50 | 800.001–1.200.000 TL → %30 | 1.200.001–2.000.000 TL → %20,70.0,,,,≤ 400.000 TL: %70 / 48 ay · 400.001–800.000 TL: %50 / 36 ay · 800.001–1.200.000 TL: %30 / 24 ay · 1.200.001–2.000.000 TL: %20 / 12 ay,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/bireysel/finansmanlar/tasit-finansmani/tasit-finansmani
643,Albaraka Türk,arac_finansmani,Araç Finansmanı,Taşıt Kiralama Finansmanı,bireysel,https://www.albaraka.com.tr/tr/bireysel/finansmanlar,,,,36,,,0,,2026-08-13T11:47:30+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/bireysel/finansmanlar/tasit-finansmani/tasit-kiralama-finansmani
644,Albaraka Türk,arac_finansmani,Araç Finansmanı,Togg Finansmanı,bireysel,https://www.albaraka.com.tr/tr/bireysel/finansmanlar,,,,48,,,0,,2026-08-13T11:47:30+00:00,2026-08-13T11:48:06+00:00,,,,70.0,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": [{""allocation_fee_rate"": null, ""annual_total_cost_rate"": null, ""financing_amount"": 1000000.0, ""maturity_months"": 12, ""monthly_total_cost_rate"": null, ""pricing_variant"": ""T10F V2"", ""profit_share_rate"": 0.0, ""source_text"": ""T10F V2 | 12 | 1.000.000 | 0.00%""}, {""allocation_fee_rate"": null, ""annual_total_cost_rate"": null, ""financing_amount"": 1700000.0, ""maturity_months"": 48, ""monthly_total_cost_rate"": null, ""pricing_variant"": ""T10F V2"", ""profit_share_rate"": 2.99, ""source_text"": "". Araç Modeli Vade (Ay) Kredi Tutarı Aylık Kar Oranı T10F V2 12 1.000.000 0,00% T10F V2 48 1.700.000 2,99% T10X V2 12 800.000 0,00% T10X V2 48 1.700.000 2,99% T10X V2 4MORE 10 1.500.000 0,00% T10F V2 4MORE 36 1.500.000 3,05% Başvuru Nasıl Yapılır? İlgili belgelerle birlikte size en yak""}, {""allocation_fee_rate"": null, ""annual_total_cost_rate"": null, ""financing_amount"": 800000.0, ""maturity_months"": 12, ""monthly_total_cost_rate"": null, ""pricing_variant"": ""T10X V2"", ""profit_share_rate"": 0.0, ""source_text"": ""T10X V2 | 12 | 800.000 | 0.00%""}, {""allocation_fee_rate"": null, ""annual_total_cost_rate"": null, ""financing_amount"": 1700000.0, ""maturity_months"": 48, ""monthly_total_cost_rate"": null, ""pricing_variant"": ""T10X V2"", ""profit_share_rate"": 2.99, ""source_text"": ""T10F V2 12 1.000.000 0,00% T10F V2 48 1.700.000 2,99% T10X V2 12 800.000 0,00% T10X V2 48 1.700.000 2,99% T10X V2 4MORE 10 1.500.000 0,00% T10F V2 4MORE 36 1.500.000 3,05% Başvuru Nasıl Yapılır? İlgili belgelerle birlikte size en yakın Albaraka Türk şubesine başvurarak formu doldurman""}, {""allocation_fee_rate"": null, ""annual_total_cost_rate"": null, ""financing_amount"": 1500000.0, ""maturity_months"": 10, ""monthly_total_cost_rate"": null, ""pricing_variant"": ""T10X V2 4MORE"", ""profit_share_rate"": 0.0, ""source_text"": ""T10X V2 4MORE | 10 | 1.500.000 | 0.00%""}, {""allocation_fee_rate"": null, ""annual_total_cost_rate"": null, ""financing_amount"": 1500000.0, ""maturity_months"": 36, ""monthly_total_cost_rate"": null, ""pricing_variant"": ""T10F V2 4MORE"", ""profit_share_rate"": 3.05, ""source_text"": ""V2 12 800.000 0,00% T10X V2 48 1.700.000 2,99% T10X V2 4MORE 10 1.500.000 0,00% T10F V2 4MORE 36 1.500.000 3,05% Başvuru Nasıl Yapılır? İlgili belgelerle birlikte size en yakın Albaraka Türk şubesine başvurarak formu doldurmanız yeterlidir. Daha fazla bilgi için 0850 222 5 666 Alo Albaraka h""}]}",https://www.albaraka.com.tr/tr/bireysel/finansmanlar/tasit-finansmani/togg-finansmani
645,Albaraka Türk,arsa_finansmani,Arsa Finansmanı,2B Arazi Finansmanı,bireysel,https://www.albaraka.com.tr/tr/bireysel/finansmanlar,,,,60,,Finansman Kâr Oranları ve Ücretleri sayfasında yayımlanıyor,0,,2026-08-13T11:47:31+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,"2B arazileri (orman vasfını yitirmiş arazi) için finansal destek alabilirsiniz. İpotek tesis ücreti ve ekspertiz ücreti ödemeyerek avantajlı konuma geçebilirsiniz. Aylık kâr oranlarını, Finansman Kâr Oranları ve Ücretleri sayfasından inceleyebilirsiniz. Başvuru Şartları 18 yaşını tamamladıysanız, 2B finansmanına başvurabilirsiniz. 2B finans",0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [{""amount"": null, ""fee_label"": ""İpotek Tesis Ücreti"", ""fee_type"": ""mortgage_establishment"", ""note"": ""2B arazileri (orman vasfını yitirmiş arazi) için finansal destek alabilirsiniz. İpotek tesis ücreti ve ekspertiz ücreti ödemeyerek avantajlı konuma geçebilirsiniz. Aylık kâr oranlarını, Finansman Kâr Oranları ve Ücretleri sayfasından inceleyebilirsiniz. Başvuru Şartları 18 yaşını tamamladıysanız, 2B finansmanına başvurabilirsiniz. 2B finans"", ""rate"": null, ""waived"": true}, {""amount"": null, ""fee_label"": ""Ekspertiz Ücreti"", ""fee_type"": ""appraisal"", ""note"": ""2B arazileri (orman vasfını yitirmiş arazi) için finansal destek alabilirsiniz. İpotek tesis ücreti ve ekspertiz ücreti ödemeyerek avantajlı konuma geçebilirsiniz. Aylık kâr oranlarını, Finansman Kâr Oranları ve Ücretleri sayfasından inceleyebilirsiniz. Başvuru Şartları 18 yaşını tamamladıysanız, 2B finansmanına başvurabilirsiniz. 2B finans"", ""rate"": null, ""waived"": true}], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/bireysel/finansmanlar/gayrimenkul-finansmani/2b-arazi-finansmani
646,Albaraka Türk,arsa_finansmani,Arsa Finansmanı,Arsa Finansmanı,bireysel,https://www.albaraka.com.tr/tr/bireysel/finansmanlar,,,,60,,Hesaplama aracında dinamik,0,,2026-08-13T11:47:32+00:00,2026-08-13T11:48:06+00:00,,,,100.0,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/bireysel/finansmanlar/gayrimenkul-finansmani/arsa-finansmani
647,Albaraka Türk,gayri_nakdi_finansman,Gayri Nakdi Finansman,Akreditifler,ticari,https://www.albaraka.com.tr/tr/kobi/finansmanlar/kobi-gayri-nakdi-finansman,,,,,,,0,,2026-08-13T11:47:33+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/finansmanlar/kobi-gayri-nakdi-finansman/akreditifler
648,Albaraka Türk,gayri_nakdi_finansman,Gayri Nakdi Finansman,Jet Teminat Mektubu,ticari,https://www.albaraka.com.tr/tr/kobi/finansmanlar/kobi-gayri-nakdi-finansman,,,,,,,0,,2026-08-13T11:47:34+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/finansmanlar/kobi-gayri-nakdi-finansman/jet-teminat-mektubu
649,Albaraka Türk,gayri_nakdi_finansman,Gayri Nakdi Finansman,Kabul-Aval Finansmanları,ticari,https://www.albaraka.com.tr/tr/kobi/finansmanlar/kobi-gayri-nakdi-finansman,,,,,,,0,,2026-08-13T11:47:35+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/finansmanlar/kobi-gayri-nakdi-finansman/kabul-aval-finansmanlari
650,Albaraka Türk,gayri_nakdi_finansman,Gayri Nakdi Finansman,Referans Mektupları,ticari,https://www.albaraka.com.tr/tr/kobi/finansmanlar/kobi-gayri-nakdi-finansman,,,,,,,0,,2026-08-13T11:47:36+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/finansmanlar/kobi-gayri-nakdi-finansman/referans-mektuplari
651,Albaraka Türk,gayri_nakdi_finansman,Gayri Nakdi Finansman,Teminat Mektupları,ticari,https://www.albaraka.com.tr/tr/kobi/finansmanlar/kobi-gayri-nakdi-finansman,,,,,,,0,,2026-08-13T11:47:37+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/finansmanlar/kobi-gayri-nakdi-finansman/teminat-mektuplari
652,Albaraka Türk,konut_finansmani,Konut Finansmanı,Konut Finansmanı,bireysel,https://www.albaraka.com.tr/tr/bireysel/finansmanlar,,,,120,,Hesaplama aracında dinamik,0,,2026-08-13T11:47:39+00:00,2026-08-13T11:48:06+00:00,,,,,≤ 5 milyon TL: A-B %90 / C %80 / Diğer %70 · 5–7 milyon TL: A-B %80 / C %70 / Diğer %60 · 7–10 milyon TL: A-B %70 / C %60 / Diğer %50 · 10–20 milyon TL: A-B %50 / C %40 / Diğer %30 · > 20 milyon TL: A-B %40 / C %30 / Diğer %20,"≤ 5 milyon TL: A-B %22,5 / C %20 / Diğer %17,5 · 5–7 milyon TL: A-B %20 / C %17,5 / Diğer %15 · 7–10 milyon TL: A-B %17,5 / C %15 / Diğer %12,5 · 10–20 milyon TL: A-B %12,5 / C %10 / Diğer %7,5 · > 20 milyon TL: A-B %10 / C %7,5 / Diğer %5","{""additional_home"": [{""ab"": 22.5, ""c"": 20, ""max_value"": 5000000, ""other"": 17.5}, {""ab"": 20, ""c"": 17.5, ""max_value"": 7000000, ""min_value"": 5000000, ""other"": 15}, {""ab"": 17.5, ""c"": 15, ""max_value"": 10000000, ""min_value"": 7000000, ""other"": 12.5}, {""ab"": 12.5, ""c"": 10, ""max_value"": 20000000, ""min_value"": 10000000, ""other"": 7.5}, {""ab"": 10, ""c"": 7.5, ""min_value"": 20000000, ""other"": 5}], ""standard_home"": [{""ab"": 90, ""c"": 80, ""max_value"": 5000000, ""other"": 70}, {""ab"": 80, ""c"": 70, ""max_value"": 7000000, ""min_value"": 5000000, ""other"": 60}, {""ab"": 70, ""c"": 60, ""max_value"": 10000000, ""min_value"": 7000000, ""other"": 50}, {""ab"": 50, ""c"": 40, ""max_value"": 20000000, ""min_value"": 10000000, ""other"": 30}, {""ab"": 40, ""c"": 30, ""min_value"": 20000000, ""other"": 20}]}",,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/bireysel/finansmanlar/konut-finansmani/konut-finansmani
653,Albaraka Türk,leasing,Leasing,Leasing - Finansal Kiralama,ticari,https://www.albaraka.com.tr/tr/kobi/finansmanlar,,,,,,,0,,2026-08-13T11:47:39+00:00,2026-08-13T11:48:06+00:00,,,,100.0,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/finansmanlar/leasing-finansal-kiralama
654,Albaraka Türk,tarim_finansmani,Tarım Finansmanı,Bitkisel Üretim Finansmanı,ticari,https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/tarim-finansmanlari,,,,24,,,0,,2026-08-13T11:48:05+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/tarim-finansmanlari#product=bitkisel-uretim-finansmani
655,Albaraka Türk,tarim_finansmani,Tarım Finansmanı,Biçerdöver Finansmanı,ticari,https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/tarim-finansmanlari,,,,48,,,0,,2026-08-13T11:48:06+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [{""condition_text"": ""Genel azami vade: 48 ay"", ""interest_free"": false, ""max_amount"": null, ""max_inclusive"": true, ""max_installments"": null, ""max_maturity_months"": 48, ""min_amount"": null, ""min_inclusive"": false, ""rule_label"": ""Ürüne Özel Finansman Koşulu"", ""rule_type"": ""product_offer"", ""source_text"": ""48 aya varan vadeler""}], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/tarim-finansmanlari#product=bicerdover-finansmani
656,Albaraka Türk,tarim_finansmani,Tarım Finansmanı,Makine Ekipman Finansmanı,ticari,https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/tarim-finansmanlari,,,,48,,,0,,2026-08-13T11:48:05+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [{""condition_text"": ""Genel azami vade: 48 ay"", ""interest_free"": false, ""max_amount"": null, ""max_inclusive"": true, ""max_installments"": null, ""max_maturity_months"": 48, ""min_amount"": null, ""min_inclusive"": false, ""rule_label"": ""Ürüne Özel Finansman Koşulu"", ""rule_type"": ""product_offer"", ""source_text"": ""48 aya varan vadeler""}], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/tarim-finansmanlari#product=makine-ekipman-finansmani
657,Albaraka Türk,tarim_finansmani,Tarım Finansmanı,Seracılık Finansmanı,ticari,https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/tarim-finansmanlari,,,,48,,,0,,2026-08-13T11:48:05+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/tarim-finansmanlari#product=seracilik-finansmani
658,Albaraka Türk,tarim_finansmani,Tarım Finansmanı,Tarla Alım Finansmanı,ticari,https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/tarim-finansmanlari,,,,48,,,0,,2026-08-13T11:48:05+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/tarim-finansmanlari#product=tarla-alim-finansmani
659,Albaraka Türk,tarim_finansmani,Tarım Finansmanı,Traktör Finansmanı,ticari,https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/tarim-finansmanlari,,,,48,,,0,,2026-08-13T11:48:05+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [{""condition_text"": ""Genel azami vade: 48 ay"", ""interest_free"": false, ""max_amount"": null, ""max_inclusive"": true, ""max_installments"": null, ""max_maturity_months"": 48, ""min_amount"": null, ""min_inclusive"": false, ""rule_label"": ""Ürüne Özel Finansman Koşulu"", ""rule_type"": ""product_offer"", ""source_text"": ""48 aya varan vadeler""}], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/tarim-bankaciligi/tarim-finansmanlari#product=traktor-finansmani
660,Albaraka Türk,ticari_finansman,Ticari Finansman,Bayide Finansman,ticari,https://www.albaraka.com.tr/tr/kobi/finansmanlar,,,,36,,,0,,2026-08-13T11:47:40+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [{""condition_text"": ""Genel azami vade: 36 ay"", ""interest_free"": false, ""max_amount"": null, ""max_inclusive"": true, ""max_installments"": null, ""max_maturity_months"": 36, ""min_amount"": null, ""min_inclusive"": false, ""rule_label"": ""Ürüne Özel Finansman Koşulu"", ""rule_type"": ""product_offer"", ""source_text"": ""36 aya varan vadeler""}], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/finansmanlar/bayide-finansman
661,Albaraka Türk,ticari_finansman,Ticari Finansman,DBS Fatura Teminatlı Kredi,ticari,https://www.albaraka.com.tr/tr/kobi/finansmanlar/kobi-nakdi-finansman,,,,,,,0,,2026-08-13T11:47:43+00:00,2026-08-13T11:48:06+00:00,,,,,,,,,,,,,,0,0,0,,,,"{""amount_maturity_rules"": [], ""category_rules"": [], ""fee_rules"": [], ""offer_rules"": [], ""pricing_tiers"": []}",https://www.albaraka.com.tr/tr/kobi/finansmanlar/kobi-nakdi-finansman/dbs-fatura-teminatli-kredi
