bank_name,product_name,scope,family_key,family_name,field,evidence_type,reason,source_url
Albaraka Türk,Dijital Araç Finansmanı,bireysel,arac_finansmani,Araç Finansmanı,financing_amount,strong_source_signal,Kaynakta finansman tutar?/limit ifadesi var; tutar alanlar? bo?.,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/tasit-finansmani/dijital-arac-finansmani
Albaraka Türk,Taşıt Finansmanı,bireysel,arac_finansmani,Araç Finansmanı,financing_amount,strong_source_signal,Kaynakta finansman tutar?/limit ifadesi var; tutar alanlar? bo?.,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/tasit-finansmani/tasit-finansmani
Albaraka Türk,Hac ve Umre Finansmanı,bireysel,ihtiyac_finansmani,İhtiyaç Finansmanı,financing_amount,strong_source_signal,Kaynakta finansman tutar?/limit ifadesi var; tutar alanlar? bo?.,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/ihtiyac/hac-ve-umre-finansmani
Albaraka Türk,Hac ve Umre Finansmanı,bireysel,ihtiyac_finansmani,İhtiyaç Finansmanı,financing_ratio,strong_source_signal,Kaynakta finansman/de?er y?zdesi sinyali var; oran alan? bo?.,https://www.albaraka.com.tr/tr/bireysel/finansmanlar/ihtiyac/hac-ve-umre-finansmani
Kuveyt Türk,Araç Finansmanı,bireysel,arac_finansmani,Araç Finansmanı,financing_amount,strong_source_signal,Kaynakta finansman tutar?/limit ifadesi var; tutar alanlar? bo?.,https://www.kuveytturk.com.tr/kendim-icin/finansmanlar/arac-finansmanlari/arac-finansmani
Türkiye Finans,Kabul-Aval Kredileri,ticari,gayri_nakdi_finansman,Gayri Nakdi Finansman,maturity,strong_source_signal,Kaynakta vade/ay/y?l ifadesi var; yap?land?r?lm?? vade alan? bo?.,https://www.turkiyefinans.com.tr/tr-tr/kobi/Sayfalar/dijital-taksitli-ticari-finansman-destegi.aspx
Türkiye Finans,Kabul-Aval Kredileri,ticari,gayri_nakdi_finansman,Gayri Nakdi Finansman,financing_amount,strong_source_signal,Kaynakta finansman tutar?/limit ifadesi var; tutar alanlar? bo?.,https://www.turkiyefinans.com.tr/tr-tr/kobi/Sayfalar/dijital-taksitli-ticari-finansman-destegi.aspx
Türkiye Finans,Referans Mektupları,ticari,gayri_nakdi_finansman,Gayri Nakdi Finansman,maturity,strong_source_signal,Kaynakta vade/ay/y?l ifadesi var; yap?land?r?lm?? vade alan? bo?.,https://www.turkiyefinans.com.tr/tr-tr/kobi/Sayfalar/dijital-taksitli-ticari-finansman-destegi.aspx
Türkiye Finans,Referans Mektupları,ticari,gayri_nakdi_finansman,Gayri Nakdi Finansman,financing_amount,strong_source_signal,Kaynakta finansman tutar?/limit ifadesi var; tutar alanlar? bo?.,https://www.turkiyefinans.com.tr/tr-tr/kobi/Sayfalar/dijital-taksitli-ticari-finansman-destegi.aspx
Türkiye Finans,Teminat Mektubu,ticari,gayri_nakdi_finansman,Gayri Nakdi Finansman,maturity,strong_source_signal,Kaynakta vade/ay/y?l ifadesi var; yap?land?r?lm?? vade alan? bo?.,https://www.turkiyefinans.com.tr/tr-tr/kobi/Sayfalar/dijital-taksitli-ticari-finansman-destegi.aspx
Türkiye Finans,Teminat Mektubu,ticari,gayri_nakdi_finansman,Gayri Nakdi Finansman,financing_amount,strong_source_signal,Kaynakta finansman tutar?/limit ifadesi var; tutar alanlar? bo?.,https://www.turkiyefinans.com.tr/tr-tr/kobi/Sayfalar/dijital-taksitli-ticari-finansman-destegi.aspx
Türkiye Finans,Dijital Taksitli Ticari Finansman Desteği,ticari,ticari_finansman,Ticari Finansman,maturity,strong_source_signal,Kaynakta vade/ay/y?l ifadesi var; yap?land?r?lm?? vade alan? bo?.,https://www.turkiyefinans.com.tr/tr-tr/kobi/Sayfalar/dijital-taksitli-ticari-finansman-destegi.aspx
Türkiye Finans,Dijital Taksitli Ticari Finansman Desteği,ticari,ticari_finansman,Ticari Finansman,financing_amount,strong_source_signal,Kaynakta finansman tutar?/limit ifadesi var; tutar alanlar? bo?.,https://www.turkiyefinans.com.tr/tr-tr/kobi/Sayfalar/dijital-taksitli-ticari-finansman-destegi.aspx
