family_key,field,filled,total,coverage_percent
alisveris_finansmani,amount,4,15,26.7
alisveris_finansmani,collateral,0,15,0.0
alisveris_finansmani,eligibility_condition,0,15,0.0
alisveris_finansmani,financing_ratio,0,15,0.0
alisveris_finansmani,maturity,12,15,80.0
alisveris_finansmani,payment_structure,0,15,0.0
alisveris_finansmani,pricing,5,15,33.3
alisveris_finansmani,state_support,0,15,0.0
alisveris_finansmani,target_segment,15,15,100.0
alisveris_finansmani,transaction_structure,0,15,0.0
alisveris_finansmani,usage_purpose,1,15,6.7
arac_finansmani,amount,1,24,4.2
arac_finansmani,collateral,0,24,0.0
arac_finansmani,eligibility_condition,0,24,0.0
arac_finansmani,financing_ratio,9,24,37.5
arac_finansmani,maturity,20,24,83.3
arac_finansmani,payment_structure,0,24,0.0
arac_finansmani,pricing,19,24,79.2
arac_finansmani,state_support,0,24,0.0
arac_finansmani,target_segment,24,24,100.0
arac_finansmani,transaction_structure,1,24,4.2
arac_finansmani,usage_purpose,5,24,20.8
arsa_finansmani,amount,0,8,0.0
arsa_finansmani,collateral,0,8,0.0
arsa_finansmani,eligibility_condition,0,8,0.0
arsa_finansmani,financing_ratio,2,8,25.0
arsa_finansmani,maturity,8,8,100.0
arsa_finansmani,payment_structure,0,8,0.0
arsa_finansmani,pricing,6,8,75.0
arsa_finansmani,state_support,0,8,0.0
arsa_finansmani,target_segment,8,8,100.0
arsa_finansmani,transaction_structure,0,8,0.0
arsa_finansmani,usage_purpose,7,8,87.5
finansman,amount,0,1,0.0
finansman,collateral,0,1,0.0
finansman,eligibility_condition,0,1,0.0
finansman,financing_ratio,0,1,0.0
finansman,maturity,1,1,100.0
finansman,payment_structure,0,1,0.0
finansman,pricing,0,1,0.0
finansman,state_support,0,1,0.0
finansman,target_segment,1,1,100.0
finansman,transaction_structure,1,1,100.0
finansman,usage_purpose,1,1,100.0
gayri_nakdi_finansman,amount,0,32,0.0
gayri_nakdi_finansman,collateral,0,32,0.0
gayri_nakdi_finansman,eligibility_condition,0,32,0.0
gayri_nakdi_finansman,financing_ratio,0,32,0.0
gayri_nakdi_finansman,maturity,0,32,0.0
gayri_nakdi_finansman,payment_structure,0,32,0.0
gayri_nakdi_finansman,pricing,0,32,0.0
gayri_nakdi_finansman,state_support,0,32,0.0
gayri_nakdi_finansman,target_segment,32,32,100.0
gayri_nakdi_finansman,transaction_structure,25,32,78.1
gayri_nakdi_finansman,usage_purpose,22,32,68.8
gayrimenkul_finansmani,amount,0,2,0.0
gayrimenkul_finansmani,collateral,0,2,0.0
gayrimenkul_finansmani,eligibility_condition,0,2,0.0
gayrimenkul_finansmani,financing_ratio,0,2,0.0
gayrimenkul_finansmani,maturity,1,2,50.0
gayrimenkul_finansmani,payment_structure,0,2,0.0
gayrimenkul_finansmani,pricing,1,2,50.0
gayrimenkul_finansmani,state_support,0,2,0.0
gayrimenkul_finansmani,target_segment,2,2,100.0
gayrimenkul_finansmani,transaction_structure,0,2,0.0
gayrimenkul_finansmani,usage_purpose,1,2,50.0
ihtiyac_finansmani,amount,7,50,14.0
ihtiyac_finansmani,collateral,0,50,0.0
ihtiyac_finansmani,eligibility_condition,0,50,0.0
ihtiyac_finansmani,financing_ratio,0,50,0.0
ihtiyac_finansmani,maturity,22,50,44.0
ihtiyac_finansmani,payment_structure,0,50,0.0
ihtiyac_finansmani,pricing,35,50,70.0
ihtiyac_finansmani,state_support,0,50,0.0
ihtiyac_finansmani,target_segment,50,50,100.0
